Permit_Number,Owner_Name,Operating_Name,Street,City,Prem_Zip,Prem_County,New_Permit_Flag
AL-W-13,JAHN MICHEL COPPEY AND JANIE R. COPPEY,WILLS CREEK VINEYARDS,10522 DUCK SPRINGS RD,ATTALLA,35954,ETOWAH,0
AL-W-15000,"FIRST FRUITS, L.L.C.",THE WINERY ON MAIN,613 2ND AVE,CLANTON,35045,CHILTON,0
AL-W-15003,"CMC WINERY, INC.",MORGAN CREEK VINEYARDS,181 MORGAN CREEK LN,HARPERSVILLE,35078,SHELBY,0
AL-W-15004,"JULES J.  BERTA VINEYARDS, LLC",,1441 DARDEN AVE,ALBERTVILLE,35951,MARSHALL,0
AL-W-15005,"WHIPPOORWILL VINEYARD, L.L.C.",WHIPPOORWILL VINEYARD,4282 COUNTY RD 31,NOTASULGA,36866,MACON,0
AL-W-15007,"THE WINERY AT PEPPER PLACE, LP JAHN M. COPPYA, CHARLES T. VIZZINA, GAYLE TEAL DICK, GP'S",,2801 2ND AVE SUITE B,BIRMINGHAM,35233,JEFFERSON,0
AL-W-15008,"WAKEFIELD ENTERPRISES, INC.",HODGES VINEYARDS,230 LEE RD 71,CAMP HILL,36850,TALLAPOOSA,0
AL-W-15009,"HIDDEN MEADOW VINEYARD, L.L.C.",,664 COUNTY ROAD 606,JEMISON,35085,CHILTON,0
AL-W-15010,LEE INVESTMENT CONSULTANTS LLC,MARAELLA VINEYARDS & WINERY,5296 OLD US HWY 278,HOKES BLUFF,35903,ETOWAH,0
AL-W-15011,FRUITHURST WINERY LLC,THE FRUITHURST WINERY CO.,27091 COUNTY ROAD 49,FRUITHURST,36262,CLEBURNE,0
AL-W-15012,"FOLKLORE BREWING & MEADERY, LLC",FOLKLORE BREWING & MEADERY,153 MARY LOU LN STE 1,DOTHAN,36301,HOUSTON,0
AL-W-20316,FORTITUDINE VINEYARD LLC,,280 VINYARD LN,EUTAW,35462,GREEN,0
AL-W-20426,"SOUTHEAST WINE, LLC",Ozan Vineyard and Cellars,173 HIGHWAY 301,CALERA,35040,SHELBY,0
AL-W-21001,"LEWIS LAKES VINEYARDS, LLC",Lewis Lakes Vineyards,1075 CHELSEA RD,COLUMBIANA,35051,SHELBY,0
AL-W-21002,THE FAIR HOPE BREWING COMPANY LLC,The Fair Hope Brewing Company,914 NICHOLS AVE,FAIRHOPE,36532,BALDWIN,0
AL-W-21004,"CHATEAU MONTEVALLO, LLC",,1280 HIGHWAY 89,MONTEVALLO,35115,SHELBY,0
AL-W-21005,"BRYANT VINEYARD,LLC",Bryant Vineyard,1454 GRIFFITT BEND ROAD,TALLADEGA,35160,TALLADEGA,0
AL-W-21006,"SINGIN' RIVER BREWING COMPANY, LLC",,526 E COLLEGE ST,FLORENCE,35630,LAUDERDALE,0
AL-W-21007,JOHN W. MCCOMBS JR.,Home Boy Brewing Company & Winery,17714 W US HIGHWAY 98 UNIT C,FOLEY,36535,BALDWIN,0
AL-W-21008,"RED CLAY BREWING COMPANY, LLC",,704 N RAILROAD AVE,OPELIKA,36801,LEE,0
AL-W-21009,LOG CABIN VINEYARDS LLC,,12774 HIGHWAY 219,SELMA,36701,PERRY,0
AL-W-21010,"SALTY NUT BREWERY, LLC",Salty Nut Winery,2406 CLINTON AVE W,HUNTSVILLE,35805,MADISON,0
AL-W-21012,"BLACK WARRIOR BREWING COMPANY, LLC",,2216 UNIVERSITY BLVD,TUSCALOOSA,35401,TUSCALOOSA,0
AL-W-21013,"STRAIGHT TO ALE BRANDS, INC.",Straight To Ale Brands,"2610 CLINTON AVE, NW",HUNTSVILLE,35805,MADISON,0
AL-W-21014,"CAT-N-BIRD WINERY, LLC",Cat-n-Bird Winery,11661 OLD HIGHWAY 280,CHELSEA,35043,SHELBY,0
AL-W-21015,PIPPIN FAMILY VINEYARD AND WINERY LLC,South Ridge Wine,3297 LIVE OAK RD BLDG,LUVERNE,36049,ALABAMA,0
AL-W-21016,"GREEN BUS BREWING, L.L.C.",,206 EUSTIS AVE SE,HUNTSVILLE,35801,MADISON,0
AL-W-21017,"CAHABA BREWING COMPANY, LLC",,4500 5TH AVE S BLDG C,BIRMINGHAM,35222,JEFFERSON,0
AL-W-21018,"TAYLOE BEND DISTILLING COMPANY, LLC",Tayloe Bend,4425 3RD AVE S,BIRMINGHAM,35222,JEFFERSON,0
AL-W-21020,A CORBIN COMPANY LLC,Corbin Farms Winery,800 HIGHWAY 87,CALERA,35040,SHELBY,0
AL-W-21021,"GOAT ISLAND CRAFT BREWING, LLC",,1646 A JOHN H COOPER DR SE,CULLMAN,35055,CULLMAN,0
AL-W-21022,LAKE POINT VINEYARD AND WINERY LLC,,674 LAKE POINT DR,MATHEWS,36052,MONTGOMERY,0
AL-W-21023,"AVONDALE BREWING COMPANY, LLC",,201 41ST ST S,BIRMINGHAM,35233,JEFFERSON,0
AL-W-21024,TALLULAH BREWING COMPANY LLC,,1804 S 4TH AVE,JASPER,35501,WALKER,0
AL-W-21027,INNERSPACE BREWING COMPANY,,2414 CLINTON AVE W,HUNTSVILLE,35805,MADISON,0
AL-W-21028,JUNAVELLI WINERY LLC,,357 GUMTREE LANE LN,BREWTON,36426,ESCAMBIA,0
AL-W-21029,TWISTED BARLEY LLC,Twisted Barley Brewing Co,19 STREET W BLDG 520,JASPER,35501,,0
AL-W-21030,"SILURIA BREWING COMPANY, LLC",,145 1ST AVE W,ALABASTER,35007,SHELBY,0
AL-W-21031,"ROBYN'S GARDEN, INC.",,200 OAKWOOD AVE NE STE A & B,HUNTSVILLE,35811,MADISON,0
AL-W-21033,"RISERS MILL FARM, LLC",Novi Vineyards & Winery,6361 RISERS MILL RD,ALPINE,35014,TALLADEGA,0
AL-W-21034,"G.S. BREWING, LLC",Big Beach Brewing Company,300 E 24TH AVE,GULF SHORES,36542,BALDWIN,0
AL-W-21035,"HIGH FALLS VINEYARDS, LLC",High Falls Vineyards,1 COUNTY 368 RD,ALBERTVILLE,35951,DEKALB,0
AL-W-21036,"DRUID CITY BREWING COMPANY, LLC",Druid City Brewing Company,700 14TH ST,TUSCALOOSA,35401,TUSCALOOSA,0
AL-W-21037,"BRAIDED RIVER BREWING COMPANY, LLC",,420 ST LOUIS ST,MOBILE,36602,MOBILE,0
AL-W-21038,"YELLOWHAMMER BREWING, INC.",,2600 CLINTON AVE W,HUNTSVILLE,35805,,0
AL-W-21039,"THE HUNTSVILLE BREWERS COOPERATIVE, LLC",Southern Brewers Co-Op,3414 GOVERNORS DR SW STE 605,HUNTSVILLE,35805,MADISON,0
AL-W-21040,"LAKE WEDOWEE WINERY, LLC",Lake Wedowee Brewing,29 MAIN ST S,WEDOWEE,36278,RANDOLPH,0
AL-W-21041,GUNTERSVILLE BREWERS COOPERATIVE LLC,Southern Brewers Co-Op,299 SCOTT ST,GUNTERSVILLE,35976,,0
AL-W-21042,BLOOM WINES LLC,,16314 HIGHWAY 72 HWY,ROGERSVILLE,35652,LAUDERDALE,0
AL-W-21043,OLD MAJESTIC BREWING COMPANY  LLC,Old Majestic Brewing,656 SAINT LOUIS ST,MOBILE,36602,MOBILE,0
AL-W-21044,RAVENWOOD MEADERY LLC,,2211 SEMINOLE DR SW STE 2069,HUNTSVILLE,35805,MADISON,0
AL-W-21045,TISS VALLEY WINERY & VINEYARD L.L.C.,Tiss Valley Winery & Vineyard L.L.C.,279 COLLEGE ST,MIDWAY,36053,BULLOCK,0
AL-W-21046,"GHOST TRAIN BREWING COMPANY, INC.",,3501 1ST AVE S,BIRMINGHAM,35222,,0
AL-W-21047,THOMAS FRANKLIN GILMORE SR,GILMORE VINEYARDS,783 MAUDE TOWER RD,LAWLEY,36793,BIBB,0
AL-W-21048,LOUD HOUSE CONSULTANTS LLC,Loud House Barbershop & Taproom,4925 UNIVERSITY DR NW STE 158,HUNTSVILLE,35816,MADISON,0
AL-W-21049,BERRY BLUE WINERY LLC,Berry Blue Winery LLC,545 FERGUSON RD,CHATOM,36518,WASHINGTON,0
AL-W-21050,"DIRT ROAD WINES, LLC",Dirt Road Wines,1304 JACKSON GRISWOLD RD,FITZPATRICK,36029,BULLOCK,0
AL-W-21051,IVY LEAGUE MEADERY LLC,Ivy League Brew,633 11TH AVE SW,ALABASTER,35007,,0
AL-W-21052,"OAK POINTE WINES, LLC",,10176 COUNTY ROAD 32,FAIRHOPE,36532,BALDWIN,0
AL-W-21053,"ROLLING ROCK VINEYARD, LLC",,2461 BUFFINGTON RD,BOAZ,35956,ETOWAH,0
AL-W-21054,"UPROOT, LLC",Uproot Brewing Company,2616 3RD AVE S,BIRMINGHAM,35233,JEFFERSON,0
AL-W-21055,HEAVENLY VIEW GOURMET HONEY AND FINE MEADS LLC,,54 MOSS VIEW RD,SECTION,35771,JACKSON,0
AL-W-21056,"SOUTHERN GROVE VINEYARDS, LLC",,10176 COUNTY ROAD 32,FAIRHOPE,36532,,0
AL-W-21057,LAFAMIGLIA LLC,LaFamiglia,116 RIGSBY CIR UNIT A,TONEY,35773,MADISON,0
AL-W-21058,SIPSEY VINEYARD AND WINERY LLC,,24972 HWY 195 BLDG,DOUBLE SPRINGS,35553,WINSTON,0
AL-W-21059,"MAIN CHANNEL, LLC",Main Channel,210 S SAND MOUNTAIN DR,ALBERTVILLE,35950,MARSHALL,0
AL-W-21060,SEIDR BREWING LLC,,14 1ST AVE NW,ARAB,35016,MARSHALL,0
AL-W-21061,OLD BLACK BEAR BREWING COMPANY LLC,Old Black Bear Brewing Company,311 S MARION ST,ATHENS,35611,LIMESTONE,0
AL-W-21062,JOHN EMERALD DISTILLING COMPANY LLC,John Emerald,706 N RAILROAD AVE,OPELIKA,36801,LEE,0
AL-W-21063,MONDAY NIGHT VENTURES LLC,Monday Night Ventures,14 12TH ST S,BIRMINGHAM,35233,JEFFERSON,0
AL-W-21064,THE FAIR HOPE BREWING COMPANY LLC,Wingman Brewing Company,656 ST. LOUIS ST,MOBILE,36602,MOBILE,0
AL-W-21065,"KITT CREEK ENTERPRISES, LLC",KITT CREEK WINERY,RD,SHORTER,36075,,0
AL-W-21066,"HIGH COUNTRY CELLARS WINERY, INC.",,849 ALMON ST,HEFLIN,36264,CLEBURNE,0
AL-W-21067,"CHATEAU BEVVY WINERY, LLC",,1930 1ST AVE N,BESSEMER,35020,JEFFERSON,0
AL-W-21068,EANDB LLC,Bloom Winery LLC,1849 COUNTY ROAD 222,CULLMAN,35057,CULLMAN,0
AL-W-21069,FROG HOLLER FARM LLC,,1145 COUNTY LAKE RD,NEW MARKET,35761,ALABAMA,0
AL-W-21070,"GOAT ISLAND CRAFT BREWING, LLC",The Goat at Cotton Creek,417 THIRD AVE SW STE 135,CULLMAN,35055,,0
AR-W-15000,KURT NEUMEIER,NEUMEIER WINERY,3406 SWISS FAMILY DR,ALTUS,72821,FRANKLIN,0
AR-W-15001,"THE WINERY OF HOT SPRINGS, INC.",THE WINERY OF HOT SPRINGS,1503 CENTRAL AVE,HOT SPRINGS,71901,GARLAND,0
AR-W-15006,DONLEY GERALD HELMS,DEPARTEE CREEK WINERY,2610 JACKSON 1,BRADFORD,72020,WHITE,0
AR-W-15009,TONTITOWN WINERY LLC,,335 N BARRINGTON RD,SPRINGDALE,72762,WASHINGTON,0
AR-W-15012,"POINT REMOVE WINERY, LLC.",Point Remove Cellars,102 S CRESTLINER DR,MORRILTON,72110,CONWAY,0
AR-W-15013,"SCHNEIDER ENDEAVORS, INC.",RAILWAY WINERY,4937 HIGHWAY 187,EUREKA SPRINGS,72631,CARROLL,0
AR-W-20331,"MOVIE HOUSE WINERY, LLC",MOVIE HOUSE WINERY,99 SANDTOWN RD,MORRILTON,72110,CONWAY,0
AR-W-21002,"AN ENCHANTING EVENING, LLC",An Enchanting Evening,29300 HIGHWAY 300,ROLAND,72135,PULASKI,0
AR-W-21003,RUSTY TRACTOR VINEYARDS LLC,Rusty Tractor Vineyards,1 SUNSET LAKE DR,LITTLE ROCK,72210,PULASKI,0
AR-W-21004,"BARRELS UNLIMITED, INC",,327 OUACHITA AVE,HOT SPRINGS,71901,GARLAND,0
AR-W-21005,BLUE TURTLE WINERY LLC,,19966 BUG SCUFFLE RD,WEST FORK,72774,,0
AR-W-21006,JOHN D. COOPER,Huzzah Ridge Winery,1800 TRIPLE LN,HARRISON,72601,BOONE,0
AR-W-21007,BOBROOK FARMS LLC,,13810 COMBEE LN,ROLAND,72135,PULASKI,0
AR-W-21008,DIONYSUS WINE & BREW LLC,,9017 HIGHWAY 186,ALTUS,72821,FRANKLIN,0
AR-W-21009,"SASSAFRAS SPRINGS VINEYARD, LLC",,4285 N BRIDLEWOOD DR,SPRINGDALE,72764,WASHINGTON,0
AR-W-21010,HUZZAH RIDGE LLC,,504 OLD BELLEFONTE RD,HARRISON,72601,BOONE,0
AR-W-21011,"RAIMONDO WINERY, LLC",,3021 E BROADWAY ST,NORTH LITTLE ROCK,72114,,0
AR-W-21013,ARKANSAS MEADERY LLC,Arkansas Meadery,2625 NW AVILLA VINCINTAGE RD,ALEXANDER,72002,SALINE,0
AR-W-21014,MICHAEL JAMES POST,Mount Bethel Winery,5014 MOUNT BETHEL DR,ALTUS,72821,FRANKLIN,0
AR-W-21015,JKC CELLARS LLC,,7709 ELLIS ST,FORT SMITH,72916,SEBASTIAN,0
AR-W-21016,"SHADOW ELM MEADERY, LLC",Shadow Elm Meadery,18674 EAGLES BEND RD,SPRINGDALE,72764,WASHINGTON,0
AR-W-21019,"FARAWAY VINEYARD, LLC",Faraway Vineyard,161 MOONLIGHT TER,GAMALIEL,72537,BAXTER,0
AR-W-21021,"JACOB'S CELLAR, LLC",Jacob's Cellar,4551 WINE COUNTRY LN,ALTUS,72821,FRANKLIN,0
AR-W-21022,THE BLUEBIRD RANCH WINERY CORPORATION,The Bluebird Ranch Winery,2525 HIGHWAY 65 S,CLINTON,72031,VAN BUREN,0
AR-W-21023,JUNIPER TREE MEADERY LLC,Juniper Tree Meadery,2112 358 HWY,PARAGOULD,72450,GREENE,0
AR-W-21025,"CMG VENTURES, LLC",Urban Cellar Winery,21 W MOUNTAIN ST STE 228,FAYETTEVILLE,72701,,0
AR-W-21026,A&A ESTATE L.L.C.,A&A Estate Cidery,21 E 19TH ST,FAYETTEVILLE,72701,WASHINGTON,0
AR-W-21028,"THE ROGUE ROUNDABOUT, INC.",The Rogue Roundabout,804 CHESTNUT ST,CONWAY,72032,,0
AR-W-21029,BRILLE BEVERAGES LLC,Brille Mead Company,3895 N ORACLE RD STE B,TUCSON,85705,,0
AR-W-21030,"C&C WINERY, LLC",,920 W HWY 89 BLDG B,CABOT,72023,PULASKI,0
AR-W-21032,"FROZEN OASIS, LLC",Frozen Oasis LLC,7801 ELLIS ST,FORT SMITH,72916,SEBASTIAN,0
AR-W-21033,"BENTONVILLE BREWING, LLC","Bentonville Brewing, LLC",901 SW 14TH ST,BENTONVILLE,72712,BENTON,0
AR-W-21034,"KEELS CREEK WINERY, LLC",KEELS CREEK WINERY,3183 E VAN BUREN,EUREKA SPRINGS,72632,CARROLL,0
AR-W-21035,BARNABY BREWING LLC,,19 E 19TH ST,FAYETTEVILLE,72701,,0
AR-W-21036,3LYN CELLARS,3Lyn Cellars,1455 MEADOW BRIDGE DR,GREENWOOD,72936,,0
AR-W-21037,DANIEL M OSHEA,DJ Endevors,131 THOMAS RD,GREENBRIER,72058,,0
AR-W-21038,DUCK MEADOWS LLC,Duck Meadows,79 ARKANSAS HWY 287,PLUMERVILLE,72127,,0
AR-W-21039,HARVEST LANE LLC,Harvest Lane Winery,7600 HARVEST LN,ALTUS,72821,FRANKLIN,0
AR-W-26,"COWIE WINE CELLARS, INC.",COWIE WINE CELLARS,101 N CARBON CITY RD,PARIS,72855,LOGAN,0
AR-W-31,"CHATEAU AUX ARC, LLC",DBA CHATEAU AUX ARC,8045 HIGHWAY 186,ALTUS,72821,FRANKLIN,0
AR-W-32,"POST WINERY, INC.",POST WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,72821,FRANKLIN,0
AR-W-34,"WIEDERKEHR WINE CELLARS, INC.",WIEDERKEHR WINE CELLARS,3324 SWISS FAMILY DR,WIEDERKEHR VILLAGE,72821,FRANKLIN,0
AR-W-35,PAUL J. POST,SAX WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,72821,FRANKLIN,0
AZ-W-15000,"PAGE SPRINGS CELLARS, INC.",PAGE SPRINGS CELLARS,1500 N PAGE SPRINGS RD,CORNVILLE,86325,YAVAPAI,0
AZ-W-15001,CHRISTOPHER CARY HAMILTON,RANCHO ROSSA VINEYARDS,201 CATTLE RANCH LN.,ELGIN,85611,SANTA CRUZ,0
AZ-W-15003,"PARADISE PRODUCE, LLC",FREITAS VINEYARD,1575 PARADISE DR,COTTONWOOD,86326,YAVAPAI,0
AZ-W-15004,KEELING SCHAEFER VINEYARDS LLC,,10277 E ROCK CREEK LN,PEARCE,85625,COCHISE,0
AZ-W-15007,BOSTOCK WINERY INC,BOSTOCK WINERY,3248 HIGHWAY 82,SONOITA,85637,SANTA CRUZ,0
AZ-W-15008,"ALCANTARA, L.L.C.",ALCANTARA VINEYARDS & WINERY,3445 S GRAPEVINE WAY,COTTONWOOD,86326,YAVAPAI,0
AZ-W-15010,"SYCAMORE CANYON WINERY, LLC",SYCAMORE CANYON WINERY,2620 DANCING APACHE RD,CORNVILLE,86325,YAVAPAI,0
AZ-W-15011,"CORONADO VINEYARDS, INC.",CORONADO VINEYARDS,2909 E COUNTRY CLUB DR,WILLCOX,85643,COCHISE,0
AZ-W-15012,"SU VINO WINERY SCOTTSDALE, INC.",SU VINO WINERY,16099 N 82ND ST STE B9,SCOTTSDALE,85260,MARICOPA,0
AZ-W-15016,"LIGHTNING RIDGE CELLARS, LLC",,2368 HIGHWAY 83,ELGIN,85611,SANTA CRUZ,0
AZ-W-15017,CLEAR CREEK VINEYARD AND WINERY LLC,,4053 E HIGHWAY 260,CAMP VERDE,86322,YAVAPAI,0
AZ-W-15018,ZEMPER RESERVE LLC,STUDIO VINO,1825 E GUADALUPE RD STE 105,TEMPE,85283,MARICOPA,0
AZ-W-15019,"WILHELM FAMILY VINEYARDS, LLC",WILHELM FAMILY VINEYARDS,21 MOUNTAIN RANCH DR,ELGIN,85611,SANTA CRUZ,0
AZ-W-15021,"ARIZONA STRONGHOLD VINEYARDS, LLC",,4700 OLD HIGHWAY 279,CAMP VERDE,86322,YAVAPAI,0
AZ-W-15022,"PILLSBURY WINE COMPANY, LLC",PILLSBURY WINE COMPANY,6450 S BENNETT PL,WILLCOX,85643,COCHISE,0
AZ-W-15024,"ARRIBA, LLC.",TOUGH COUNTRY WINERY,6642 S 38TH ST,PHOENIX,85042,MARICOPA,0
AZ-W-15029,"JEROME WINERY, INC",BITTER CREEK WINERY,240 HULL ST,JEROME,86331,,0
AZ-W-15031,"LAWRENCE DUNHAM VINEYARDS, LLC",LAWRENCE DUNHAM VINEYARDS,13922 S KUYKENDALL CUTOFF RD,PEARCE,85625,COCHISE,0
AZ-W-15032,"GERALD, INC.",ROSE PEAK VINEYARDS,17251 W ASH CREEK RD,WILLCOX,85643,COCHISE,0
AZ-W-15033,"CALLAGHAN VINEYARDS, L.L.C.",CALLAGHAN VINEYARDS,336 ELGIN RD,ELGIN,85611,SANTA CRUZ,0
AZ-W-15035,FRANK A. CUDA,REUNION CAMP JUNIPERWOOD RANCH WINERY,7775 W STOCKMAN RD,ASH FORK,86320,YAVAPAI,0
AZ-W-15036,BARBARA CARR AND ROCKY CARR,SONORAN DESERT WINERY,9385 S WILTBANK RD,TUCSON,85736,PIMA,0
AZ-W-15037,"CARLSON CREEK VINEYARD, LLC",CARLSON CREEK VINEYARD,4574 E ROBBS RD,WILLCOX,85643,COCHISE,0
AZ-W-15038,"CADUCEUS CELLARS, LLC",CADUCEUS CELLARS,103 DUNDEE AVE,JEROME,86331,YAVAPAI,0
AZ-W-15039,HAMMELMAN WINES LLC,HAMMELMAN WINES,130 S HASKELL AVE,WILLCOX,85643,COCHISE,0
AZ-W-15041,"HANNAH'S HILL ENTERPRISES, LLC",HANNAH'S HILL VINEYARD,3989 HIGHWAY 82,ELGIN,85611,SANTA CRUZ,0
AZ-W-15044,EARLE'S CUSTOM WINES INC.,YUMA'S MAIN SQUEEZE,251 S MAIN ST,YUMA,85364,YUMA,0
AZ-W-15045,"SUSTAINABLE PACKAGING SOLUTIONS, LLC",KIND VINES,2225 N GEMINI DR W6,FLAGSTAFF,86001,COCONINO,0
AZ-W-15046,MARIE PETROFF,PLEASANT VALLEY WINERY,3023 WALNUT CREEK RD,YOUNG,85554,GILA,0
AZ-W-15049,"SUPERSTITION MEADERY, LLC",SUPERSTITION MEADERY,6678 INTER CAL WAY,PRESCOTT,86301,YAVAPAI,0
AZ-W-15050,SILVER STRIKE WINERY LLC,SILVER STRIKE WINERY,334 E ALLEN ST,TOMBSTONE,85638,COCHISE,0
AZ-W-15053,"HOFMANN ESTATE VINEYARDS AND WINERY, LLC",HOFMANN VINEYARDS,9399 N HIGH LONESOME RD,MC NEAL,85617,COCHISE,0
AZ-W-15054,DEL RIO SPRINGS VINEYARD LLP,DEL RIO SPRINGS VINEYARD,974 N GRANDVIEW,PAULDEN,86334,YAVAPAI,0
AZ-W-15057,"MERKIN ENTERPRISES, INC.",MERKIN VINEYARDS,770 N VERDE HEIGHTS DR,COTTONWOOD,86326,YAVAPAI,0
AZ-W-15060,"FOUR EIGHT WINEWORKS, INC",FOUR EIGHT WINEWORKS,741 AIRPARK WAY UNIT 12,COTTONWOOD,86326,YAVAPAI,0
AZ-W-15062,"SEDONA ORCHARDS, LLC",,145 COPPER CLIFFS LN,SEDONA,86336,YAVAPAI,0
AZ-W-15063,"PLEASANT VALLEY FARMS, LLC",BRUZZI VINEYARD,47209 N HWY 288,YOUNG,85554,GILA,0
AZ-W-15064,"INIQUUS CELLARS, LLC",,4626 OLD HWY 279,CAMP VERDE,86322,YAVAPAI,0
AZ-W-15067,GRANITE CREEK VINEYARDS LLC,GRANITE CREEK VINEYARDS,1145 E GRANITE CREEK LN,CHINO VALLEY,86323,YAVAPAI,0
AZ-W-20307,"JORVE MACMILLAN VINEYARDS, L.L.C.",Zarpara Vineyard,6777 S ZARPARA LN,WILLCOX,85643,COCHISE,0
AZ-W-20496,"ARIZONA HOPS AND VINES, LLC",Arizona Hops and Vines,3450 HWY 82,SONOITA,85637,SANTA CRUZ,0
AZ-W-20540,KVB ENTERPRISE LLC,,7240 E MAIN ST STE C100,SCOTTSDALE,85251,MARICOPA,0
AZ-W-21001,"ARIDUS WINE COMPANY, LLC",,1126 N HASKELL AVE,WILLCOX,85643,COCHISE,0
AZ-W-21003,"CADUCEUS CELLARS, LLC",Caduceus Cellars,760 N VERDE HEIGHTS DR,COTTONWOOD,86326,YAVAPAI,0
AZ-W-21004,"FLYING LEAP VINEYARDS, INC.",Flying Leap Vineyards,342 ELGIN RD,ELGIN,85611,,0
AZ-W-21005,HUGOVINO INC,Nosh,4080 W RAY RD STE 26,CHANDLER,85226,MARICOPA,0
AZ-W-21006,PROTEC L.L.C.,Casavino Winery,12005 N SAGUARO BLVD STE 101,FOUNTAIN HILLS,85268,MARICOPA,0
AZ-W-21007,"CELLA WINERY, L.L.C.",Wildcatter Winery LLC,6927 E BROOKS BLVD,KINGMAN,86401,MOHAVE,0
AZ-W-21008,"PRESCOTT WINERY, LLC",Prescott Winery,8910 E MARROW RD,PRESCOTT VALLEY,86315,,0
AZ-W-21009,PROTEC L.L.C.,Twisted Rose Winery,15040 N NORTHSIGHT BLVD STE 104,SCOTTSDALE,85260,MARICOPA,0
